id,calories,proteins,fat,carbohydrate,name,image
1142,65,1,0.3,16.3,Sirsak,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sirsak.jpg
1143,213,0,0,55,Sirup,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sirup.jpg
1144,71,7.5,3.6,2.2,Sop buntut masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_buntut_masakan.jpg
1145,49,5.8,0.5,5.3,Sop daging sapi masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_daging_sapi_masakan.jpg
1146,68,9,1.9,3.7,Sop kaki sapi masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_kaki_sapi_masakan.jpg
1147,34,5.5,0.8,1.1,Sop kambing masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_kambing_masakan.jpg
1148,71,7.4,2.6,4.5,Sop konro masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_konro_masakan.jpg
1150,15,0.6,0.1,3.1,Sop Kool dan Wortel,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_Kool_dan_Wortel.jpg
1151,89,7.2,5,3.9,Sop saudara masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sop_saudara_masakan.jpg
1152,42,3.9,1.7,2.8,Soto bandung masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_bandung_masakan.jpg
1155,127.5,2.6,9.4,8.3,Soto dengan Daging,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_dengan_Daging.jpg
1156,92,11.8,4.3,1.4,Soto jeroan masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_jeroan_masakan.jpg
1158,60,3.5,4.5,1.3,Soto madura masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_madura_masakan.jpg
1159,127,5.9,6.6,11,Soto padang masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_padang_masakan.jpg
1160,94,3,6.8,5.1,Soto pekalongan masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_pekalongan_masakan.jpg
1161,75,3.6,5.2,3.5,Soto pemalang masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_pemalang_masakan.jpg
1163,86,2.3,8.5,0,Soto sulung masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_sulung_masakan.jpg
1164,117.1,0.4,8.6,9.6,Soto tanpa Daging ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Soto_tanpa_Daging_.jpg
1165,139,7.4,2.1,22.6,Spaghetti,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Spaghetti.jpg
1166,101,1.7,0.6,35.2,Srikaya,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Srikaya.jpg
1168,119,1.4,0.2,28.1,Sukun muda segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sukun_muda_segar.jpg
1169,126,1.6,0.2,24.5,Sukun tua segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sukun_tua_segar.jpg
1171,513,24.6,30,36.2,Susu bubuk,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_bubuk.jpg
1172,64,4.3,2.3,6.6,Susu Kambing,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Kambing.jpg
1173,41,3.5,2.5,5,Susu Kedelai,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Kedelai.jpg
1174,336,8.2,10,55,Susu Kental Manis,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Kental_Manis.jpg
1175,138,7,7.9,9.9,Susu Kental Tak Manis,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Kental_Tak_Manis.jpg
1176,160,6.3,12,7.1,Susu Kerbau,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Kerbau.jpg
1177,61,3.2,3.5,4.3,Susu Sapi,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_Sapi.jpg
1179,359,35.6,1,52,Susu skim bubuk,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_skim_bubuk.jpg
1180,36,3.5,0.1,5.1,Susu skim segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susu_skim_segar.jpg
1181,87,5.3,5.2,6.3,Susupan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Susupan.jpg
1182,90,1.5,0.1,21.9,Suweg kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Suweg_kukus.jpg
1183,69,1,0.1,15.7,Suweg mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Suweg_mentah.jpg
1184,74,1.4,0.1,17.2,Suweg talas segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Suweg_talas_segar.jpg
1185,347,0.5,0.9,84.2,Suwir-suwir,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Suwir-suwir.jpg
1186,68,7.8,4.6,1.6,Tahu,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tahu.jpg
1187,115,9.7,8.5,2.5,Tahu goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tahu_goreng.jpg
1188,328,12.6,19.9,24.6,Tahu telur,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tahu_telur.jpg
1189,148,13.8,8.5,4,Takwa,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Takwa.jpg
1190,120,1.5,0.3,28.2,Talas bogor kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Talas_bogor_kukus.jpg
1191,163,2.3,0.5,36.4,Talas pontianak segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Talas_pontianak_segar.jpg
1192,115,1.8,0.5,25.9,Talas viqueque segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Talas_viqueque_segar.jpg
1193,120,1.5,0.3,28.2,Tales kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tales_kukus.jpg
1194,98,1.9,0.2,23.7,Tales mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tales_mentah.jpg
1195,166,10.4,4.9,24.1,Taoco,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taoco.jpg
1196,88,3.2,2.1,14,Taoge goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taoge_goreng.jpg
1197,76,9,2.6,6.4,Taoge kacang kedelai segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taoge_kacang_kedelai_segar.jpg
1198,28,3,0.8,4,Taoge seduh,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taoge_seduh.jpg
1199,34,3.7,1.2,4.3,Taoge segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taoge_segar.jpg
1200,104,12.9,6.8,1.2,Taokoa,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Taokoa.jpg
1201,99,1.7,0.3,22.4,Tapai beras,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tapai_beras.jpg
1202,166,3.8,1,34.4,Tapai ketan hitam,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Tapai_ketan_hitam.jpg
